name,cocktails,address
"
            ESTATE VITAMINICA         ",Mercoledì 11:00 - 19:30,"
          MORONIGOMMA —
          Corso Garibaldi, 123,  Milano
        "
"
            A&B Living. Il futuro, il presente e il passato nel nostro haut savoir-faire         ",Martedì 10:00 - 21:00,"
          Galleria Ponte Rosso —
          Via Brera, 2,  Milano
        "
"
            ART DOWN TOWN         ",Mercoledì 11:00 - 19:00,"
          Robertaebasta - Solferino —
          Via Solferino fronte civico, 3,  Milano
        "
"
            Tai Ping x Sam Baron         ",Martedì 10:00 - 18:00,"
          Tai Ping —
          Piazza San Simpliciano,  Milano
        "
"
            VARASCHIN | BRERA DESIGN WEEK 2022         ",Martedì 00:00 - 00:00,"
          Istituto Lombardo —
          Via Borgonuovo, 25 | Via Fiori Oscuri, 4,  Milano
        "
"
            PAESAGGI, NATHALIE DU PASQUIER FOR MUTINA         ",Martedì 10:00 - 18:00,"
          Casa Mutina Milano —
          Via Cernaia, 1/A,  Milano
        "
"
            Lodes Showroom - Opening         ",Mercoledì 10:00 - 21:00,"
          Lodes showroom —
          via della Moscova, 33,  Milano
        "
"
            YC WHYCI VESTE LA TAVOLA CON MV % CERAMICS         ",Martedì 11:00 - 19:30,"
          Boutique YC Whyci Milano —
          Via Fiori Chiari, 24,  Milano
        "
"
            Life Cycle         ",Giovedì 10:00 - 20:00,"
          Green Wise Italy Showroom —
          Via Palermo, 5,  Milano
        "
"
            D'SIGN         ",Giovedì 10:00 - 21:00,"
          Alfonso Muzzi Showroom —
          Via Solferino 37, 20122 Milano (MI),  Milano
        "
"
            Masiero - Rivelazioni         ",Giovedì 11:00 - 18:00,"
          Statuto 16 —
          Via Statuto 16,  Milano
        "
"
            Concerto RockDesign di Oslavia         ",Domenica 19:30 - 23:30,"
          ADI Design Museum —
          Piazza Compasso d'Oro 1,  Milano
        "
"
            Gli infiniti linguaggi dello stile         ",Venerdì 18:00 - 23:30,"
          ADI Design Museum —
          Piazza Compasso d'Oro 1,  Milano
        "
"
            Gli infiniti linguaggi dello stile         ",Venerdì 18:00 - 23:30,"
          ADI Design Museum —
          Piazza Compasso d'Oro 1,  Milano
        "
"
            TOILETPAPER STREET dreamed with ORGANICS by Red Bull         ","Giovedì 18:30 - 23:30,Venerdì 18:30 - 23:30,Sabato 18:30 - 23:30","
          Via Balzaretti —
          Via Balzaretti, 4,  Milano
        "
"
            You Don't Want Space, You Want To Fill It         ",Lunedì 10:00 - 19:00,"
          Marsèll Paradise —
          Via Privata Rezia 2,  Milano
        "
"
            Into the Bloom         ",Mercoledì 10:00 - 22:00,"
          GIOPATO & COOMBES GALLERY —
          Via San Maurilio 19,  Milano
        "
"
            The Square by Chef in Camicia         ","Lunedì 11:00 - 23:59,Martedì 11:00 - 23:59,Mercoledì 11:00 - 23:59,Giovedì 11:00 - 23:59,Venerdì 11:00 - 23:59,Sabato 11:00 - 23:59,Domenica 11:00 - 23:59","
          Ride —
          Via Valenza, 2,  Milano
        "
"
            PENSIONE THE SOCIALITE FAMILY         ","Lunedì 11:00 - 18:00,Martedì 11:00 - 18:00,Mercoledì 11:00 - 18:00,Giovedì 11:00 - 18:00","
          PENSIONE THE SOCIALITE FAMILY —
          Via Vitruvio, 25,  Milano
        "
"
            AIR IS EMOTION         ",Giovedì 10:00 - 19:00,"
          Tortona 37 —
          Via Tortona, 37,  Milano
        "
"
            Voyage en Intérieur, Le French Art de Vivre         ",Mercoledì 10:00 - 21:00,"
          Centre culturel Français de Milan —
          Corso Magenta 63,  Milano
        "
"
            Officinarkitettura “Les Jardins Imaginaires” by Simone Guidarelli         ",Martedì 19:00 - 23:00,"
          IL SALOTTO DI MILANO —
          CORSO VENEZIA, 7,  Milano
        "
"
            Birreficenza host Urban Giants Graffiti Festival 2022         ","Venerdì 09:00 - 23:30,Sabato 09:00 - 23:30,Domenica 00:00 - 01:00","
          Centro Feste U.Tognazzi —
          Via Castoldi snc Trezzano Sul Naviglio,  Milano
        "
"
            Sofable by Mantellassi apre a Milano il nuovo flagship store         ","Lunedì 10:00 - 20:00,Martedì 10:00 - 20:00,Mercoledì 10:00 - 20:00,Venerdì 10:00 - 20:00,Sabato 10:00 - 20:00,Domenica 10:00 - 20:00","
          Atelier Artigianale - Sofable by Mantellassi —
          Viale Premuda, 19,  Milano
        "
"
            Liberty Fabrics         ",Venerdì 10:00 - 18:00,"
          Marino Decorazioni —
          Viale s. Michele del Carso, 9,  Milano
        "
"
            Generative Circularity         ","Martedì 10:00 - 22:00,Mercoledì 10:00 - 22:00,Giovedì 10:00 - 22:00,Venerdì 10:00 - 22:00","
          Fonderia Napoleonica Eugenia —
          Via Genova Thaon Di Revel, 21,  Milano
        "
"
            BARANZATE ATELIERS: una fabbrica abbandonata diventa il crocevia di scambio tra design, arte, musica e drink         ","Mercoledì 11:00 - 18:00,Giovedì 00:00 - 04:00,Venerdì 11:00 - 18:00,Sabato 11:00 - 18:00,Domenica 11:00 - 18:00","
          BARANZATE ATELIERS —
          Via Milano 251, Baranzate (MI),  Milano
        "
"
            CHROMATIK HOUSE by HOMMÉS STUDIO         ",Martedì 10:00 - 19:00,"
          Museo Bagatti Valsecchi —
          Via Gesù, 5,  Milano
        "
"
            Preview Night Collection         ",Mercoledì 10:00 - 22:00,"
          Manifattura Falomo Milano Notte —
          Via Sebastiano Del Piombo, 17,  Milano
        "
"
            Decor Lab: decorazione senza limiti         ",Giovedì 10:00 - 20:00,"
          Decor Lab —
          via Tortona, 37,  Milano
        "
"
            The Instant of Change         ",Giovedì 10:00 - 20:00,"
          Mo.1950 —
          via Molino delle Armi 14,  Milano
        "
"
            Antropocena         ",Martedì 10:00 - 20:00,"
          Desco —
          Via Bassano Porrone, 8, 20121 Milano MI,  Milano
        "
"
            Live performances Novacolor Ambassador         ","Mercoledì 16:00 - 21:00,Giovedì 16:00 - 21:00,Venerdì 16:00 - 21:00","
          Showroom Novacolor —
          Corso Garibaldi, 91,  Milano
        "
"
            Chornozem – The exhibition of live Ukrainian design         ",Mercoledì 11:00 - 22:00,"
          T12 lab —
          Via dei Transiti, 12,  Milano
        "
"
            Oxilia Gallery presenta: DIECI         ",Mercoledì 11:00 - 18:00,"
          Oxilia Gallery —
          Via Nino Oxilia, 9,  Milano
        "
"
            Montbook design by Giulio Iacchetti: ovvero progettare a Milano e produrre a Nara in Giappone borse e contenitori in pelle dal sapore artigiano         ",Lunedì 10:30 - 18:00,"
          Palermo18 —
          via Palermo, 18,  Milano
        "
"
            Lemi - Showroom Milano         ",Martedì 18:00 - 23:00,"
          Lemi Group —
          Via Marco Formentini 4/6,  Milano
        "
"
            CASA LAGO         ",Martedì 18:30 - 21:30,"
          Casa Lago —
          Via San Tomaso, 6,  Milano
        "
"
            Inspired in Barcelona: a gathering place         ","Martedì 10:00 - 20:00,Mercoledì 10:00 - 20:00,Giovedì 10:00 - 20:00,Venerdì 10:00 - 20:00","
          Square Garden —
          Via Madonnina, 12,  Milano
        "
"
            Nudo         ",Mercoledì 10:00 - 20:00,"
          Antichità di Nobili A.& C. —
          via Marsala, 4,  Milano
        "
"
            IT’S TIME FOR YOUR GREEN SOUL by Takara Belmont + TONI&GUY         ",Giovedì 18:00 - 22:00,"
          TONI&GUY - Brera —
          Via Fiori Chiari, 34,  Milano
        "
"
            VittEr® Theater: sustainability and color         ",Martedì 10:00 - 21:30,"
          San Simpliciano Space —
          Via San Simpliciano, 6,  Milano
        "
"
            Arredo3 Green Evolution         ","Lunedì 10:00 - 18:00,Giovedì 10:00 - 21:00","
          Arredo3 Store Milano Solferino —
          Piazza S. Marco, 1,  Milano
        "
"
            Schönbuch Temporary Showroom         ",Martedì 11:00 - 20:00,"
          Schönbuch —
          Via Brera, 2,  Milano
        "
"
            Colefax and Fowler & Promemoria: Omaggio a Jack Lenor Larsen         ",Martedì 10:00 - 19:00,"
          Colefax and Fowler —
          Via Palermo, 8,  Milano
        "
